strain	gene	country	location	length	date	lat	lon	GenBank_Title	title	url	host
seq101	CAMK/CAMKL kinase gene	Vietnam	Kontum	1056	2023-XX-XX	14.62308	107.84989		Ceratobasidium sp. is associated to Cassava Witches Broom Disease a re-emerging threat to cassava cultivation in Southeast Asia		Ceratobasidium theobromae
seq102	CAMK/CAMKL kinase gene	Vietnam	Tay Ninh	1056	2023-XX-XX	11.64006	106.00966		Ceratobasidium sp. is associated to Cassava Witches Broom Disease a re-emerging threat to cassava cultivation in Southeast Asia		Ceratobasidium theobromae
seq103	CAMK/CAMKL kinase gene	Vietnam	Tay Ninh	1056	2023-XX-XX	11.64006	106.00966		Ceratobasidium sp. is associated to Cassava Witches Broom Disease a re-emerging threat to cassava cultivation in Southeast Asia		Ceratobasidium theobromae
seq104	CAMK/CAMKL kinase gene	Vietnam	Tay Ninh	1056	2023-XX-XX	11.54519	106.17213		Ceratobasidium sp. is associated to Cassava Witches Broom Disease a re-emerging threat to cassava cultivation in Southeast Asia		Ceratobasidium theobromae
seq105	CAMK/CAMKL kinase gene	Vietnam	Tay Ninh	1056	2023-XX-XX	11.54519	106.17213		Ceratobasidium sp. is associated to Cassava Witches Broom Disease a re-emerging threat to cassava cultivation in Southeast Asia		Ceratobasidium theobromae
seq106	CAMK/CAMKL kinase gene	Cambodia		1056					Ceratobasidium sp. is associated to Cassava Witches Broom Disease a re-emerging threat to cassava cultivation in Southeast Asia		Ceratobasidium theobromae
seq107	CAMK/CAMKL kinase gene	Cambodia		1056					Ceratobasidium sp. is associated to Cassava Witches Broom Disease a re-emerging threat to cassava cultivation in Southeast Asia		Ceratobasidium theobromae
seq108	CAMK/CAMKL kinase gene	Cambodia		1056					Ceratobasidium sp. is associated to Cassava Witches Broom Disease a re-emerging threat to cassava cultivation in Southeast Asia		Ceratobasidium theobromae
seq109	CAMK/CAMKL kinase gene	Thailand	Chachoengsao	1056	2023-02-XX	13.6882	101.07156		Ceratobasidium sp. is associated to Cassava Witches Broom Disease a re-emerging threat to cassava cultivation in Southeast Asia		Ceratobasidium theobromae
seq110	CAMK/CAMKL kinase gene	Thailand	Chachoengsao	1056	2023-02-XX	13.6882	101.07156		Ceratobasidium sp. is associated to Cassava Witches Broom Disease a re-emerging threat to cassava cultivation in Southeast Asia		Ceratobasidium theobromae
seq111	CAMK/CAMKL kinase gene	Thailand	Chachoengsao	1056	2023-02-XX	13.6882	101.07156		Ceratobasidium sp. is associated to Cassava Witches Broom Disease a re-emerging threat to cassava cultivation in Southeast Asia		Ceratobasidium theobromae
seq112	CAMK/CAMKL kinase gene	Thailand	Chachoengsao	1056	2023-02-XX	13.6882	101.07156		Ceratobasidium sp. is associated to Cassava Witches Broom Disease a re-emerging threat to cassava cultivation in Southeast Asia		Ceratobasidium theobromae
